reaction_type,set,reactants,products
<RX_1>,train,CS(=O)(=O)OC[C@H]1CCC(=O)O1.Fc1ccc(Nc2ncnc3cc(OCCN4CCNCC4)c(OC4CCCC4)cc23)cc1Cl,O=C1CC[C@H](CN2CCN(CCOc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc3OC3CCCC3)CC2)O1
<RX_6>,train,COC(=O)c1cc(CCCc2cc3c(=O)[nH]c(N)nc3[nH]2)cs1,Nc1nc2[nH]c(CCCc3csc(C(=O)O)c3)cc2c(=O)[nH]1
<RX_9>,train,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.FC(F)(F)c1ccnc(Nc2cccc(Br)c2)n1,CC1(C)OB(c2cccc(Nc3nccc(C(F)(F)F)n3)c2)OC1(C)C
<RX_6>,train,CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)OCc1ccccc1,CC(C)(C)OC(=O)NCC(=O)CCC(=O)OCCCC(=O)O
<RX_1>,train,Fc1cc2c(Cl)ncnc2cn1.NC1CCCCCC1,Fc1cc2c(NC3CCCCCC3)ncnc2cn1
<RX_2>,train,COc1ccc(S(=O)(=O)Cl)c([N+](=O)[O-])c1.Nc1ccc2c(c1)B(O)OC2,COc1ccc(S(=O)(=O)Nc2ccc3c(c2)B(O)OC3)c([N+](=O)[O-])c1
<RX_2>,train,NS(=O)(=O)C1CC1.O=C(O)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F,O=C(NS(=O)(=O)C1CC1)c1cc(C2CC2)c(OCC2CCN(S(=O)(=O)c3cc(Cl)c(Br)cc3F)CC2)cc1F
<RX_1>,train,C[C@H](NC(=O)c1cc(Cl)cnc1Cl)c1ccc(C(=O)OC(C)(C)C)cc1.Oc1cccc(F)c1,C[C@H](NC(=O)c1cc(Cl)cnc1Oc1cccc(F)c1)c1ccc(C(=O)OC(C)(C)C)cc1
<RX_1>,train,ClCc1ccccc1.c1ccc2[nH]ccc2c1,c1ccc(Cn2ccc3ccccc23)cc1
<RX_9>,train,BrC(Br)(Br)Br.COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=O)cc1,COc1ccc(CN(C(=O)OCc2ccccc2)[C@@H]2C(=O)N(Cc3ccc(OC)cc3OC)[C@@H]2CC=C(Br)Br)cc1
<RX_3>,train,CCCCCBr.O=Cc1ccc(Oc2ccc3ccccc3n2)cn1,CCCCCC(O)c1ccc(Oc2ccc3ccccc3n2)cn1
<RX_2>,train,Nc1cc(-c2cccc(COC(C(F)(F)F)C(F)(F)F)c2)n(-c2ccccc2)n1.O=C1C[C@H](C(=O)O)CN1,O=C1C[C@H](C(=O)Nc2cc(-c3cccc(COC(C(F)(F)F)C(F)(F)F)c3)n(-c3ccccc3)n2)CN1
